iter	Passed	Remaining
0	821	820569
1	1337	667617
2	2057	683893
3	2675	666076
4	3239	644624
5	3733	618497
6	4245	602312
7	4823	598078
8	5305	584182
9	6037	597701
10	6905	620846
11	7521	619230
12	8420	639306
13	9236	650527
14	11136	731300
15	12006	738391
16	13229	764982
17	13905	758597
18	14594	753550
19	15205	745052
20	15840	738480
21	16536	735104
22	17553	745645
23	18689	760046
24	19603	764540
25	20225	757684
26	21086	759897
27	21901	760283
28	22486	752897
29	23119	747530
30	24149	754853
31	24881	752678
32	26126	765587
33	26839	762563
34	27910	769540
35	28500	763190
36	29557	769293
37	30454	770971
38	31296	771182
39	31858	764598
40	32212	753449
41	32596	743510
42	33384	743006
43	33900	736570
44	34608	734462
45	35355	733240
46	35730	724499
47	35974	713502
48	36512	708633
49	37151	705874
50	38106	709073
51	39062	712147
52	40061	715806
53	41211	721969
54	42114	723603
55	43351	730777
56	44117	729874
57	45903	745537
58	46832	746935
59	47172	739036
60	47979	738569
61	49173	743944
62	50058	744521
63	50850	743681
64	51831	745574
65	52686	745593
66	54044	752589
67	54919	752719
68	56625	764031
69	58503	777258
70	59303	775952
71	59706	769552
72	60785	771894
73	62331	779989
74	62769	774159
75	63839	776153
76	64841	777250
77	66285	783531
78	66749	778178
79	67272	773631
80	68933	782093
81	70481	789045
82	71237	787050
83	72264	788024
84	72931	785087
85	73711	783393
86	74346	780210
87	74873	775965
88	75444	772250
89	76103	769495
90	76750	766665
91	77482	764714
92	78016	760866
93	78603	757603
94	79166	754162
95	79845	751878
96	80499	749396
97	81054	746034
98	81721	743746
99	82500	742505
100	82649	735666
101	82912	729956
102	84092	732340
103	84439	727477
104	85587	729532
105	86144	726541
106	87227	727982
107	88114	727760
108	88825	726088
109	89087	720796
110	89837	719511
111	90272	715731
112	90655	711606
113	91414	710464
114	91888	707140
115	92250	703012
116	92688	699519
117	93206	696681
118	94115	696770
119	94867	695692
120	95671	695000
121	96515	694593
122	96914	691010
123	97820	691057
124	98437	689063
125	99097	687391
126	99732	685565
127	100854	687071
128	101926	688201
129	102870	688438
130	103736	688147
131	104550	687497
132	105391	687025
133	105944	684683
134	106577	682883
135	107220	681162
136	107835	679284
137	108258	676221
138	109425	677806
139	109773	674323
140	110219	671476
141	110606	668312
142	110987	665148
143	111231	661206
144	111529	657638
145	111911	654603
146	112617	653489
147	113195	651640
148	113765	649763
149	114364	648067
150	114950	646309
151	115547	644630
152	116355	644137
153	116688	641029
154	118344	645168
155	119564	646874
156	121204	650798
157	122317	651844
158	123656	654059
159	124158	651831
160	124428	648418
161	124768	645406
162	125829	646129
163	127001	647398
164	127349	644464
165	127750	641832
166	128073	638833
167	128677	637258
168	128976	634197
169	129796	633711
170	130437	632355
171	130712	629244
172	131316	627740
173	131939	626331
174	132417	624256
175	132781	621658
176	133046	618627
177	133438	616218
178	134026	614726
179	134419	612353
180	134883	610331
181	135302	608116
182	135791	606239
183	136333	604609
184	136823	602764
185	137427	601432
186	137904	599553
187	138486	598145
188	139029	596574
189	139469	594579
190	139930	592688
191	140335	590577
192	140839	588899
193	141377	587371
194	141825	585486
195	142241	583478
196	142658	581496
197	143086	579573
198	143517	577676
199	143930	575723
200	144393	573981
201	145292	573977
202	145901	572824
203	146444	571419
204	147001	570078
205	147434	568267
206	148061	567211
207	148464	565306
208	148968	563799
209	149543	562569
210	150216	561709
211	150925	560987
212	151597	560126
213	152039	558426
214	152627	557268
215	153117	555760
216	153684	554540
217	154108	552811
218	154545	551140
